title,Co,series,x,y
y-axis,Leaching ratio(%),series1,15,1.174981636
x-axis,time(min),series2,30,1.334691288
,,series3,60,1.49888451
,,series4,90,1.546722198
,,series5,120,1.651611391
,,series6,,1.382875254
,,,,1.721389611
,,,,2.077632761
,,,,2.506909812
,,,,2.694629418
,,,,1.77178255
,,,,2.464565256
,,,,3.083353158
,,,,3.974420439
,,,,4.711617679
,,,,1.405703211
,,,,1.778419413
,,,,2.417589616
,,,,3.291059213
,,,,4.279245826
,,,,2.330083338
,,,,3.465818356
,,,,5.743774574
,,,,9.108264245
,,,,9.583289858
,,,,4.328431445
,,,,8.263961575
,,,,14.68013347
,,,,26.76908155
,,,,20.15398231
