title,Co,series,x,y
y-axis,Leaching ratio(%),25℃ 2%NH3-1.2%CO2,15,0.071088155
x-axis,time(min),25℃ 7%NH3-4.2%CO2,30,0.09767313
,,25℃ 15%NH3-9%CO2,60,0.139885841
,,50℃ 2%NH3-1.2%CO2,90,0.142073808
,,50℃ 7%NH3-4.2%CO2,120,0.223388134
,,50℃ 15%NH3-9%CO2,,0.14796728
,,,,0.205064936
,,,,0.278530179
,,,,0.313673059
,,,,0.393258496
,,,,0.20762169
,,,,0.242044952
,,,,0.302434043
,,,,0.309057253
,,,,0.323355185
,,,,0.135601017
,,,,0.169143279
,,,,0.208568445
,,,,0.270434336
,,,,0.313956484
,,,,0.265261772
,,,,0.318620932
,,,,0.386772781
,,,,0.442386418
,,,,0.454012166
,,,,0.399966316
,,,,0.401496386
,,,,0.630203596
,,,,0.537012164
,,,,0.538239895
