title,Cu,series,x,y
y-axis,Leaching ratio(%),25℃ 2%NH3-1.2%CO2,15,0.5563019
x-axis,time(min),25℃ 7%NH3-4.2%CO2,30,0.578465708
,,25℃ 15%NH3-9%CO2,60,0.604903233
,,50℃ 2%NH3-1.2%CO2,90,0.742199549
,,50℃ 7%NH3-4.2%CO2,120,0.664144599
,,50℃ 15%NH3-9%CO2,,0.647429127
,,,,0.81754704
,,,,0.761809535
,,,,0.976984708
,,,,0.770444078
,,,,0.819905937
,,,,0.905700897
,,,,0.763007258
,,,,0.740184215
,,,,0.578078634
,,,,0.810105931
,,,,0.657167099
,,,,0.857883487
,,,,1.041942752
,,,,1.005264937
,,,,0.896160872
,,,,0.997142372
,,,,1.108853383
,,,,1.285282935
,,,,1.066613028
,,,,1.034418493
,,,,0.862089632
,,,,2.219663771
,,,,1.573602663
,,,,1.416785684
