title,Mn,series,x,y
y-axis,Leaching ratio(%),25℃ 2%NH₃-1.2%CO₂,15,0.005030865
x-axis,time(min),25℃ 7%NH₃-4.2%CO₂,30,0.009492492
,,25℃ 15%NH₃-9%CO₂,60,0.020760803
,,50℃ 2%NH₃-1.2%CO₂,90,0.008881503
,,50℃ 7%NH₃-4.2%CO₂,120,0.061490601
,,50℃ 15%NH₃-9%CO₂,,0.00679777
,,,,0.014254793
,,,,0.030047033
,,,,0.035099213
,,,,0.074305591
,,,,0.030991954
,,,,0.026447615
,,,,0.039948813
,,,,0.046895368
,,,,0.027063621
,,,,0.003455764
,,,,0.005625575
,,,,0.004538122
,,,,0.016418401
,,,,0.025737142
,,,,0.010724677
,,,,0.012198504
,,,,0.018162458
,,,,0.024981252
,,,,0.023146622
,,,,0.044862045
,,,,0.044604233
,,,,0.203727355
,,,,0.089919506
,,,,0.082517756
