title,Co,series,x,y
y-axis,Leaching ratio(%),25℃ 2%NH₃-1.2%CO₂,15,0.026114199
x-axis,time(min),25℃ 7%NH₃-4.2%CO₂,30,0.037482505
,,25℃ 15%NH₃-9%CO₂,60,0.051992615
,,50℃ 2%NH₃-1.2%CO₂,90,0.074574368
,,50℃ 7%NH₃-4.2%CO₂,120,0.103712637
,,50℃ 15%NH₃-9%CO₂,,0.066441316
,,,,0.111518257
,,,,0.194665561
,,,,0.281134674
,,,,0.294509675
,,,,0.23523937
,,,,0.405591498
,,,,0.594159722
,,,,0.796738077
,,,,0.843927678
,,,,0.033834159
,,,,0.055026728
,,,,0.092490936
,,,,0.114427795
,,,,0.154098185
,,,,0.247809616
,,,,0.367010331
,,,,0.591182277
,,,,0.732386073
,,,,0.83389629
,,,,0.680905672
,,,,0.9854143
,,,,1.545352501
,,,,1.952440444
,,,,2.090258596
