title,Ni,series,x,y
y-axis,Leaching ratio(%),25℃ 2%NH3-1.2%CO2,15,0.630090526
x-axis,time(min),25℃ 7%NH3-4.2%CO2,30,0.907163332
,,25℃ 15%NH3-9%CO2,60,1.255922191
,,50℃ 2%NH3-1.2%CO2,90,1.472963613
,,50℃ 7%NH3-4.2%CO2,120,1.616482355
,,50℃ 15%NH3-9%CO2,,0.843721385
,,,,1.321865203
,,,,2.216665029
,,,,3.059679087
,,,,3.390976456
,,,,0.642254775
,,,,1.224288767
,,,,1.874001967
,,,,2.546840337
,,,,2.871330587
,,,,0.767479101
,,,,1.007413464
,,,,1.43768451
,,,,1.544524789
,,,,1.635666438
,,,,2.538191725
,,,,3.932571374
,,,,5.670411064
,,,,6.289839526
,,,,6.954402928
,,,,2.381106392
,,,,3.406001095
,,,,5.197489686
,,,,7.002820948
,,,,7.526149091
