title,Ni,series,x,y
y-axis,Leaching ratio(%),25℃-0.5M,15,5.094477357
x-axis,time(min),25℃-1M,30,7.853335472
,,25℃-2M,60,11.71259479
,,75℃-0.5M,120,16.18785165
,,75℃-1M,180,20.72077631
,,75℃-2M,,6.508248526
,,,,9.66370823
,,,,14.7235173
,,,,20.68196607
,,,,25.29506794
,,,,9.67433398
,,,,15.35327416
,,,,18.96029495
,,,,26.84493625
,,,,30.59994702
,,,,12.59126378
,,,,35.5006238
,,,,76.69679069
,,,,83.89666109
,,,,90.05283946
,,,,22.46000073
,,,,53.8541378
,,,,87.51617738
,,,,102.4985971
,,,,88.13009962
,,,,34.74018254
,,,,63.1159094
,,,,88.49444791
,,,,91.29022356
,,,,88.49995854
