title,Co,series,x,y
y-axis,Leaching ratio(%),25℃-0.5M,15,1.021700402
x-axis,time(min),25℃-1M,30,1.160575267
,,25℃-2M,60,1.303348801
,,100℃-0.5M,120,1.344945864
,,100℃-1M,180,1.436151826
,,100℃-2M,,1.202473435
,,,,1.496827188
,,,,1.80659694
,,,,2.179873017
,,,,2.343103821
,,,,1.540646159
,,,,2.143052484
,,,,2.681116935
,,,,3.455940788
,,,,4.096967587
,,,,1.222323389
,,,,1.546417216
,,,,2.102205011
,,,,2.861726872
,,,,3.721000438
,,,,2.02611429
,,,,3.013687959
,,,,4.994475329
,,,,7.92005335
,,,,8.3331099
,,,,3.763769589
,,,,7.185893471
,,,,12.7650491
,,,,23.2769437
,,,,17.52481163
