title,Fe,series,x,y
y-axis,Leaching ratio(%),25℃-0.5M,15,11.90748092
x-axis,time(min),25℃-1M,30,15.54868554
,,25℃-2M,60,18.53321403
,,75℃-0.5M,120,20.94361208
,,75℃-1M,180,22.52676031
,,75℃-2M,,17.60481262
,,,,22.23773067
,,,,28.06187054
,,,,33.42366922
,,,,36.40485696
,,,,26.48727041
,,,,36.21149899
,,,,41.13544502
,,,,48.38933847
,,,,52.05641411
,,,,16.22735931
,,,,23.40728078
,,,,27.73732594
,,,,29.73473743
,,,,31.02959446
,,,,33.73834243
,,,,48.3103624
,,,,64.27671402
,,,,70.95984009
,,,,61.86374474
,,,,53.6377045
,,,,70.7157263
,,,,85.34795885
,,,,83.74195608
,,,,81.45417275
