title,Mn,series,x,y
y-axis,Leaching ratio(%),25℃-0.5M,15,0.972660411
x-axis,time(min),25℃-1M,30,1.056863188
,,25℃-2M,60,1.074259257
,,100℃-0.5M,120,1.025448546
,,100℃-1M,180,1.018804465
,,100℃-2M,,0.999178935
,,,,1.036358285
,,,,1.023204268
,,,,1.0159688
,,,,0.978461162
,,,,1.223185027
,,,,1.298315965
,,,,1.17054396
,,,,1.09146098
,,,,1.041042135
,,,,1.107797335
,,,,1.266696341
,,,,1.256074157
,,,,1.264683199
,,,,1.340039758
,,,,1.283231255
,,,,1.233949974
,,,,1.355902047
,,,,1.494344236
,,,,1.381253162
,,,,1.259125458
,,,,1.162413034
,,,,1.34408991
,,,,1.434179266
,,,,1.399964155
